CODIGO,MODELO,No. PART,DESCRICION,ENTADAS,SALIDAS,STOCK
TAB64-1,TAB64,WD101HBM40AB-F0,DISPLAY,5,1,4
TAB64-2,TAB64,,SPEAKER,85,0,85
TAB64-3,TAB64,FRONT COVER,FRONT COVER,5,1,4
TAB64-4,TAB64,BACK COVER,BACK COVER,5,0,5
TAB64-5,TAB64,SH14836E,FLEX LCD,34,0,34
TAB64-6,TAB64,SH14835A,FELX BOTONES,35,0,35
TAB1066-1,TAB1066,001-000,SPEAKER,40,2,38
TAB1066-2,TAB1066,EE-0502000UZ,CARGADOR,40,2,38
TAB1066-3,TAB1066,YS21490,FELX DE CAMARAS,54,22,32
TAB1066-4,TAB1066,SH14596B,FLEX LCD,30,0,30
TAB64-7,TAB64,EE-0502000UZ,ADAPTADOR AC/DC,88,0,88
TAB64-8,TAB64,QM-TAB64-AUX,ANTENA BLUETOOTH,5,0,5
TAB64-9,TAB64,QM-TAB64-W/G/B,ANTENA WIFI,5,1,4
TAB64-10,TAB64,QM-TAB64-MAIN,ANTENA 4G,5,0,5
TAB64-11,TAB64,,MICROFONO,53,0,53
TAB64-12,TAB64,,MOTOR,5,0,5
TAB64-13,TAB64,TX6567-TAB64-B-5035R,REAR CAMERA,35,0,35
TAB64-14,TAB64,TX6566-TAB64-B-02M2R,FRONT CAMERA,35,0,35
TABAI1-1,TABAI1,,RODILLO IMPRESORA T,40,0,40
TAB64-15,TAB64,YLY-32105115,BATERIA TAB64,85,0,85
TAB1066-5,TAB1066,ZRF-32105115/3,BATERIA TAB1066,10,1,9
TABAI1-2,TABAI1,JJY1252100/7,BATERIA TABAI1,49,0,49
TAB64-16,TAB64,TAB6420160601,TACTIL TAB64,5,1,4
TAB1066-7,TAB1066,S14502B,FLEX BOTONES,30,0,30
TAB1066-8,TAB1066,,MICROFONO,23,1,22
TABAI1-3,TABAI1,G4W12458L24728AB,PCBA TABI1,24,8,16
TABAI1-4,TABAI1,GG070123-V1,PANEL TACTIL TABI1,43,12,31
TABAI1-5,TABAI1,,BACK COVER,10,0,10
TABAI1-6,TABAI1,,TAPA IMPRESORA,10,1,9
TABAI1-7,TABAI1,RC-UF292_SUB_V1.1,PCBA DE CARGA,2,0,2
TABAI1-8,TABAI1,TABI1 MAIN,ANTENA 4G,2,0,2
TABAI1-9,TABAI1,TABI1 G/W/B,ANTENA WIFI,2,0,2
TABAI1-10,TABAI1,TABI1 DIV,ANTENA BLUETOOTH,2,0,2
TABAI1-11,TABAI1,,BOTONES CARCASA,12,0,12
TABAI1-12,TABAI1,,CABLE CONECTOR BIOMETRICO,17,0,17
TABAI1-13,TABAI1,SH14850B,FLEX LCD,49,1,48
TABAI1-14,TABAI1,SH14851B,FLEX PCBA DE CARGA,3,0,3
TABAI1-15,TABAI1,TX6592-UF292U-F-5035 R,CAMARA FRONTAL CON SENSOR DE PROXIMIDAD,51,5,46
TABAI1-16,TABAI1,TX6593-UF292U-8-8858-PLCC R,CAMARA TRASERA,48,35,13
TABAI1-17,TABAI1,2125I000874,LECTOR BIOMETRICO,10,2,8
TABAI1-18,TABAI1,,IMPRESORA TERMICA,57,0,57
TABAI1-19,TABAI1,,PROTECTOR DE PUERTOS USBC Y DE CARGA,1,0,1
TABAI1-20,TABAI1,,SPEAKER,2,0,2
TABAI1-21,TABAI1,,SOCKET DE SPEAKER,3,0,3
TABAI1-22,TABAI1,,MICROFONO,1,0,1
TABAI1-23,TABAI1,,SOCKET DE CAMARA,1,0,1
TAB64-17,TAB64,,CABLE USB-C,7,0,7
TABAI1-24,TABAI1,,FRONT COVER,10,0,10
TABAI1-25,TABAI1,,SOPORTE PARA IMPRESORA,10,0,10
TABAI1-26,TABAI1,,SOPORTE DE CAMARA TRASERA Y BIOMETRICO,9,0,9
TABAI1-27,TABAI1,YQ-0902500Z,CARGADOR,16,0,16
TABAI1-28,TABAI1,,TABLET PARA CAMBIO,8,0,8
TAB1066-6,TAB1066,HM06E26065A0,MAIN BOARD TAB1066,30,0,30
TAB1066-9,TAB1066,F717-ZNZ-TLY-PCB-V1.0,SUB-BOARD TAB1066,30,1,29
TAB64-18,TAB64,HM08K25966B0,MAIN BOARD TAB64,38,4,34
